id_despesa,id_projeto,cd_identificador_rubrica,ds_despesa,tx_justificativa,vl_unitario,nr_quantidade,vl_despesa,fl_fonte_recurso,id_receita,ds_unidade_medida,fl_origem_material,fl_ressarcimento,ds_tipo_ressarcimento,fl_tipo_pessoa_servico,dt_calculo_imposto
2000,1348,339020,,"Pagamento de bolsa de pesquisa ao coordenador do projeto dentro da Furg",172800.00,1.00,172800.00,T,,,,,,,
2001,1348,339018,,"Pagamento de bolsistas de mestrado envolvidos com o projeto",36000.00,1.00,36000.00,T,,,,,,,
2002,1348,339018,,"Pagamento de bolsistas de mestrado envolvidos com o projeto",36000.00,1.00,36000.00,T,,,,,,,
2031,1353,339020,,"Estudo de tecnologias e técnicas  de Redes Neurais Profundas, que possam ser utilizadas. Aplicação das técnicas estudadas para melhoria e/ou criação de ferramentas e/ou produtos da que possam ser utilizados em PD&I e para a Empresa.",84924.00,1.00,84924.00,T,,,,,,,
2032,1353,339020,,"Estudo de tecnologias e técnicas  de Redes Neurais Profundas, que possam ser utilizadas. Aplicação das técnicas estudadas para melhoria e/ou criação de ferramentas e/ou produtos da que possam ser utilizados em PD&I e para a Empresa",41726.16,1.00,41726.16,T,,,,,,,
2033,1353,339020,,"Estudo de tecnologias e técnicas  de Redes Neurais Profundas, que possam ser utilizadas. Aplicação das técnicas estudadas para melhoria e/ou criação de ferramentas e/ou produtos da que possam ser utilizados em PD&I e para a Empresa.",41726.16,1.00,41726.16,T,,,,,,,
2103,1381,339014,,"Apresentação dos Resultados no Congresso SETAC Noth America 2018",582.50,4.00,2330.00,A,,,,,,,
2104,1381,339030,Herbicidas,,20.00,3.00,60.00,A,,l,,,,,
2105,1381,339030,"Material Plástico",,61.10,50.00,3055.00,A,,u,,,,,
2106,1381,339030,Vidraria,,18.00,10.00,180.00,A,,u,,,,,
2107,1381,339030,"Material para quantificação de glifosato",,376.00,10.00,3760.00,A,,u,,,,,
2108,1381,339030,"Reagentes para análises bioquímicas",,228.10,30.00,6843.00,A,,u,,,,,
2109,1381,449052,Sonicador,"Homgeneizador de amostras pra processamento de análises bioquímicas.",13716.00,1.00,13716.00,A,,,I,,,,
2671,1637,339020,,"Vide metas do projeto",3559.02,1.00,3559.02,T,,,,,,,
2672,1637,339020,,"Vide metas do projeto",78300.20,1.00,78300.20,T,,,,,,,
2695,1655,339030,"Acessórios para equipamentos",,41400.00,1.00,41400.00,T,268,u,,,,,
2696,1655,339030,"Gases dissolvidos para cruzeiro",,14000.00,1.00,14000.00,T,268,u,,,,,
2697,1655,339030,"Aluguel de cilindro para os gases dissolvidos",,4500.00,1.00,4500.00,T,268,u,,,,,
2698,1655,339030,"Kit de reposição para equipamento CO2",,8050.00,1.00,8050.00,T,268,u,,,,,
2699,1655,339030,"Software para Seaglider",,35650.00,1.00,35650.00,T,268,u,,,,,
2700,1655,339030,"Reagentes e material para análises de oceanografia química (laboratórios e cruzeiros)",,30000.00,2.00,60000.00,T,268,u,,,,,
2701,1655,339030,"Material de reposição para análises de oceanografia químicas",,8000.00,1.00,8000.00,T,268,u,,,,,
2703,1655,339014,,"Ajuda de custo para uma equipe de 10 pesquisadores para aproximadamente 25 dias de embarque na Operação Antártica (2 cruzeiros).",80.00,500.00,40000.00,T,268,,,,,,
2704,1655,339014,,"Despesa de 5 diárias/pessoa para integrantes do projeto realizarem o treinamento pré-antártico (TPA) no RJ. Estimam-se cerca de 5 novos participantes por ano (2 anos).",80.00,50.00,4000.00,T,268,,,,,,
2705,1655,339033,,"Despesas de passagem com ""logística científica"" para reuniões preparatórias da OPERANTAR, visitas de técnicos especializados, etc.",1600.00,2.00,3200.00,T,268,,,,,,
2706,1655,339014,,"Despesas com ""logística científica"" para reuniões preparatórias da OPERANTAR, visitas de técnicos especializados, etc.",320.00,6.00,1920.00,T,268,,,,,,
2707,1655,339014,,"Despesa de diárias para 2 pesquisadores do projeto participarem de curso de treinamento de pilotagem de seagliders na sede do fabricante em Lynnwood, WA, EUA (1 semana).",320.00,25.00,8000.00,T,268,,,,,,
2708,1655,339033,,"Despesa de passagens para 2 pesquisadores do projeto participarem de curso de treinamento de pilotagem de seagliders na sede do fabricante em Lynnwood, WA, EUA (1 semana).",3500.00,2.00,7000.00,T,268,,,,,,
2709,1655,339033,,"Despesa de passagens para integrantes do projeto realizarem o treinamento pré-antártico (TPA) no RJ.",600.00,10.00,6000.00,T,268,,,,,,
2710,1655,339014,,"Diárias para 1 visita de um pesquisador da equipe ao grupo de especialistas da Rutgers University ou UAF, EUA, para tratar da implantação do Modelo ROMS com parte de gelo em alta resolução para a região.",320.00,24.00,7680.00,T,268,,,,,,
2711,1655,339033,,"Passagens para 1 visita de um pesquisador da equipe ao grupo de especialistas da Rutgers University ou UAF, EUA, para tratar da implantação do Modelo ROMS com parte de gelo em alta resolução para a região.",3320.00,1.00,3320.00,T,268,,,,,,
2712,1655,339030,"Material para instalação de fundeio",,25000.00,1.00,25000.00,T,268,u,,,,,
2713,1655,339033,,"Deslocamento de uma equipe de 10 pesquisadores até os portos de Ushuaia e/ou Punta Arenas para embarque na Operação Antártica para 2 cruzeiros.",1400.00,20.00,28000.00,T,268,,,,,,
2714,1655,339033,,"Despesas de passagem com a participação do coordenador do projeto em 2 reuniões de acompanhamento e avaliação.",1600.00,2.00,3200.00,T,268,,,,,,
2715,1655,339014,,"Despesas de diária com a participação do coordenador do projeto em 2 reuniões de acompanhamento e avaliação.",320.00,6.00,1920.00,T,268,,,,,,
2716,1655,339014,,"Despesas com diárias para participação de até 3 membros do projeto em fóruns científicos Antárticos e reuniões técnicas no exterior.",320.00,30.00,9600.00,T,268,,,,,,
2717,1655,339033,,"Despesas de passagens com a participação de até 3 membros do projeto em fóruns científicos Antárticos e reuniões técnicas no exterior.",3800.00,3.00,11400.00,T,268,,,,,,
2718,1655,339014,,"Diárias para 7 pesquisadores de fora de Rio Grande para participarem em um Workshop geral de 3 dias para integração e discussão final de resultados, montagem de artigos e relatório final.",320.00,21.00,6720.00,T,268,,,,,,
2719,1655,339033,,"Passagens para 7 pesquisadores de fora de Rio Grande para participarem em um Workshop geral de 3 dias para integração e discussão final de resultados, montagem de artigos e relatório final.",1500.00,7.00,10500.00,T,268,,,,,,
2720,1655,339020,,"Bolsas DTI para apoio técnico ao projeto e pesquisas desenvolvidas no laboratório.",72000.00,1.00,72000.00,T,,,,,,,
2721,1655,339020,,"Bolsas DTI para apoio técnico ao projeto e pesquisas desenvolvidas no laboratório.",72000.00,1.00,72000.00,T,,,,,,,
2722,1655,339020,,"Estimular o interesse pela pesquisa e desenvolvimento tecnológico em estudantes de nível médio, enquanto os mesmos prestam apoio ao projeto.",9600.00,1.00,9600.00,T,,,,,,,
2723,1655,339020,,"Estimular o interesse pela pesquisa e desenvolvimento tecnológico em estudantes de nível médio, enquanto os mesmos prestam apoio ao projeto.",9600.00,1.00,9600.00,T,,,,,,,
2724,1655,339020,,"Estimular o interesse pela pesquisa e desenvolvimento tecnológico em estudantes de nível médio, enquanto os mesmos prestam apoio ao projeto.",9600.00,1.00,9600.00,T,,,,,,,
2725,1655,339020,,"Estimular o interesse pela pesquisa e desenvolvimento tecnológico em estudantes de nível médio, enquanto os mesmos prestam apoio ao projeto.",9600.00,1.00,9600.00,T,,,,,,,
2726,1655,339020,,"Estimular o interesse pela pesquisa e desenvolvimento tecnológico em estudantes de nível médio, enquanto os mesmos prestam apoio ao projeto.",9600.00,1.00,9600.00,T,,,,,,,
2727,1655,449052,"Aanderaa Disolved Oxygen Optode","Sensor para medição direta de oxigênio dissolvido.",25024.00,1.00,25024.00,T,268,,I,,,,
2728,1655,449052,"Seabird Glider Pumped CTD","Sensor para medição de dados oceanográficos in situ (temperatura, pressão e condutividade), com bomba.",40388.00,1.00,40388.00,T,268,,I,,,,
2729,1655,449052,"Kongsberg Seaglider AUV System","Equipamento autônomo para coleta de dados oceanográficos, base para acoplamento de sensores.",337571.00,1.00,337571.00,T,268,,I,,,,
2730,1655,449052,"Acoustic Doppler Current Profiler","Equipamento que mede velocidade das correntes, adaptado para ser instalado em fundeios oceanográficos.",101200.00,1.00,101200.00,T,268,,I,,,,
2731,1655,449052,"Microcat SBE Temperature/Salinity Recorder","Sensores de temperatura e salinidade, adaptados para o uso em fundeios oceanográficos. 1 para o topo e 1 para o fundo da linha de fundeio.",15410.00,2.00,30820.00,T,268,,I,,,,
2732,1655,449052,"Liberadores Acústicos Teledyne Benthos","Liberadores instalados na base do fundeio para permitir que se recuperem os equipamentos instalados.",13800.00,2.00,27600.00,T,268,,I,,,,
2733,1655,449052,"Bóia de topo para ADCP Flotation Tech com sinalizador","Quando o liberador acústico é acionado para que se recupere o fundeio, a bóia que está no topo flutua até a superfície para que se identifique a posição do fundeio e se recolham os equipamentos presos a ela.",98900.00,1.00,98900.00,T,268,,I,,,,
2734,1655,449052,"Nós de núcleos paralelos para cluster SGI","Necessários para o armazenamento dos dados coletados pelo grupo.",57730.00,1.00,57730.00,T,268,,I,,,,
2735,1655,449052,"Computadores de alto desempenho","Computadores para o laboratório que serão usados no processamento dos dados coletados.",5000.00,4.00,20000.00,T,268,,N,,,,
2736,1655,449052,Notebooks,"Notebooks para trabalho em campo.",5000.00,3.00,15000.00,T,268,,N,,,,
2737,1655,449052,"NO-break 3-5 Kva","Especial para cluster de processamento paralelo.",5000.00,1.00,5000.00,T,268,,N,,,,
2738,1655,339030,"Despesas gerais para todo o grupo de instituições nacionais do projeto por cada OPERANTAR (2)",,20000.00,2.00,40000.00,T,268,u,,,,,
2739,1655,339039,"Calibração de sensores oceanográficos","Envio de sensores hidrográficos e pagamento de serviços para calibração com os fabricantes.",20000.00,1.00,20000.00,T,268,,,,,J,2018-06-07
2742,1661,339039,"Taxa de inscrição","Pagamento de taxa de inscrição - CILAMCE 2015",1250.00,1.00,1250.00,T,270,,,,,J,2018-06-06
2743,1661,339036,Manutenção,"Manutenção em monitor LCD",120.00,1.00,120.00,T,270,,,,,F,2018-06-06
2744,1661,449052,"Bateria sólida","Extensão para os nobreak.",251.00,1.00,251.00,T,270,,N,,,,
2745,1661,449052,Nobreak,"Nobreak para workstations",878.00,1.00,878.00,T,270,,N,,,,
2746,1661,449052,"Workstation II","Computador para realização das simulações numéricas.",9997.00,1.00,9997.00,T,270,,N,,,,
2747,1661,449052,Notebook,"Utilizado para aquisição de dados e controle da impressora 3D.",2570.00,1.00,2570.00,T,270,,N,,,,
2748,1661,339030,"Conversor HDMI",,84.75,1.00,84.75,T,270,u,,,,,
2749,1661,449052,"Impressora 3D","Impressão das pás e rotor da turbina.",11000.00,1.00,11000.00,T,270,,N,,,,
2750,1661,449052,"Recurso ainda não utilizado","Bens de capital a serem adquiridos.",7020.00,1.00,7020.00,T,270,,N,,,,
2751,1661,449052,Workstation,"Realização da parte numérica do projeto",10963.00,1.00,10963.00,T,270,,N,,,,
2752,1661,339030,"Saldo ainda não utilizado",,15743.25,1.00,15743.25,T,270,u,,,,,
3147,2077,339014,,"Visita a outras instituições",320.00,19.00,6080.00,T,321,,,,,,
3148,2077,449052,Livros,"Pesquisa bibliográfica",300.00,10.00,3000.00,T,321,,I,,,,
3149,2077,449052,Notebook,"Pesquisa online, digitação de artigos, realização de seminários via Skype, etc.",3400.00,1.00,3400.00,T,321,,N,,,,
3150,2077,339033,,"Visita a outras instituições",90.00,5.00,450.00,T,321,,,,,,
3151,2077,339033,,retorno,90.00,5.00,450.00,T,321,,,,,,
3152,2077,339033,,"Visita a outras instituições",779.75,2.00,1559.50,T,321,,,,,,
3153,2077,339033,,retorno,779.50,2.00,1559.00,T,321,,,,,,
3254,2201,339030,"Regantes químicos",,1700.00,1.00,1700.00,T,356,u,,,,,
3255,2201,339030,"Consumíveis para forno micro-ondas",,7225.00,1.00,7225.00,T,356,u,,,,,
3256,2201,339030,"Consumíveis para Espectrometria de Absorção Atômica",,5100.00,1.00,5100.00,T,356,u,,,,,
3257,2201,339030,"Gases especiais para AAS",,1700.00,1.00,1700.00,T,356,u,,,,,
3258,2201,339030,"Material geral de laboratório",,1275.00,1.00,1275.00,T,356,u,,,,,
3520,2442,339030,"Materiais aos cursistas (bloco, caneta, crachá)",,10.00,45.00,450.00,A,,u,,,,,
3522,2442,339039,Xerox,"Impressão de ata para os 3 turnos;Impressão de material a ser utilizado nas atividades",100.00,1.00,100.00,A,,,,,,J,2018-07-12
3532,2468,339014,,"3 convidados externos:- Daniela do Canto (UFSM) - R$ 223,86 - Pedido 904/18- Amy Pippi (UFSM) - R$ 223,86 - Pedido 903/18- Clarissa Gabbi (UNIPAMPA - Bagé) - R$ 223,86 - Pedido 905/18",223.86,3.00,671.58,I,,,,,,,
3533,2468,449052,Banner,"Identificação visual do evento nos locais de atividade",75.60,2.00,151.20,I,,,N,,,,
4092,2644,339018,,"Bolsa AT NS",19800.00,1.00,19800.00,T,,,,,,,
4093,2644,339018,,"Bolsa AT NM",14400.00,1.00,14400.00,T,,,,,,,
4094,2644,339020,,"Bolsa Acadêmica 1 (nível doutor, Coordenador)",6000.00,1.00,6000.00,T,,,,,,,
4095,2644,339020,,"Bolsa Acadêmica  (nível doutor)",6000.00,1.00,6000.00,T,,,,,,,
4096,2644,339020,,"Bolsa Acadêmica  (nível doutor)",6000.00,1.00,6000.00,T,,,,,,,
4097,2644,339020,,"Bolsa Acadêmica (nível doutor)",6000.00,1.00,6000.00,T,,,,,,,
4098,2644,339030,"Cilindros de Nitrogênio",,750.00,5.00,3750.00,T,443,u,,,,,
4099,2644,339030,"Cilindro de Hêlio",,900.00,1.00,900.00,T,443,u,,,,,
4100,2644,339030,"Vidraria para testes em bancada",,5000.00,1.00,5000.00,T,443,u,,,,,
4101,2644,339030,"Reagentes, padrões, vidrarias e eletrodos",,18150.00,1.00,18150.00,T,443,u,,,,,
4102,2644,339030,"Linhas e conexões",,10000.00,1.00,10000.00,T,443,u,,,,,
4103,2644,339030,"Lampadas UV",,600.00,10.00,6000.00,T,443,u,,,,,
4104,2644,339030,Termopar,,1350.00,2.00,2700.00,T,443,u,,,,,
4105,2644,339030,Reagentes,,10000.00,1.00,10000.00,T,443,u,,,,,
4106,2644,339030,"Kit  reagentes  para especiação",,800.00,5.00,4000.00,T,443,u,,,,,
4107,2644,449052,"Banho termostático","Controle da temperatura",3500.00,2.00,7000.00,T,443,,N,,,,
4108,2644,449052,"Balança analítica","Apoio laboratório",3500.00,1.00,3500.00,T,443,,N,,,,
4109,2644,449052,"Agitador magnético","Ensaios de bancada",1000.00,4.00,4000.00,T,443,,N,,,,
4110,2644,449052,Radiômetro/Luxímetro,"Medida da intensidade de radiação",2500.00,1.00,2500.00,T,443,,N,,,,
4111,2644,449052,"pH metro","Ajuste de pH do meio reacional",6000.00,1.00,6000.00,T,443,,N,,,,
4112,2644,449052,Condutivímetro,"Monitoramento de sais",4500.00,1.00,4500.00,T,443,,N,,,,
4113,2644,449052,Estufa,"Esterilização e secagem",5500.00,1.00,5500.00,T,443,,N,,,,
4114,2644,449052,Centrífuga,"Para separação do catalisador",9500.00,1.00,9500.00,T,443,,N,,,,
4115,2644,449052,"Bomba peristáltica","Para recirculação do reator",8600.00,2.00,17200.00,T,443,,N,,,,
4116,2644,449052,Filtro,"Testes em bancada e no sistema piloto",2500.00,2.00,5000.00,T,443,,N,,,,
4117,2644,449052,"Tanques para armazenamento","Escala bancada",150.00,2.00,300.00,T,443,,N,,,,
4118,2644,449052,"Tanque para armazenamento","Testes em bancada e no sistema piloto",200.00,2.00,400.00,T,443,,N,,,,
4119,2644,449052,"Medidor de vazão","Testes em bancada e no sistema piloto",500.00,2.00,1000.00,T,443,,N,,,,
4120,2644,449052,"Digestor UV","Especiação de metais",68000.00,1.00,68000.00,T,443,,I,,,,
4121,2644,449052,"Bomba à vácuo","Apoio laboratório",2708.71,1.00,2708.71,T,443,,N,,,,
4486,2774,339014,,"Participação das atividades do Projeto.",250.00,4.00,1000.00,A,,,,,,,
4487,2774,339020,,"O envolvimento do pesquisador com o projeto desde a sua gênese, proporcionará ao mesmo amplificar sua participação através da produção de artigo sobre o seminário com vistas a problematização das ideias expostas e discutidas ao longo do seminário, visando a  publicização do mesmo em meio externo.",1000.00,1.00,1000.00,A,,,,,,,
4488,2774,339036,"Coffe brack","A produção de pães, patês, tortas, bolos, sucos e cafés para os intervalos do evento VI Seminário Interfaces Pedagógicas: Licenciaturas em Diálogo, durante os dias 12, 13 e 14 de Junho do corrente ano. Além do mais será produzido lanches para 100 crianças de escolas básicas da  cidade do Rio Grande que estarão presente durante o Interfaces relatando durante a Cirandinha: As crianças e suas cidades. A pessoa física a ser contratada tem sido responsável pela prestação desse serviço desde o primeiro evento em 2013 e seus cafés tornaram-se uma referência no evento, tanto que no programa das atividades do Seminário teve o seu intervalo denominado ""café da Patrícia"", pela excelência de seu serviço além de realizar o trabalho praticamente pelo preço d custo, por ser discente de licenciatura da Furg e estar envolvida com o projeto desde seu início. Ratificamos o empenho da mesma em prestar o serviço da melhora maneira possível.",2000.00,1.00,2000.00,A,,,,,,F,2018-06-18
4489,2774,339014,,"Participação nas atividades de todo o evento, com aplicação de um ateliê formativo durante o VI Seminário Interfaces Pedagógicas: Licenciaturas em Diálogo - Cidade educadora: escolas, invisibilidades e democracia.",175.00,2.00,350.00,A,,,,,,,
4490,2774,339014,,"A professora palestrante ficará em Pelotas mas irá vir a furg realizar as atividades referentes ao projeto.",175.00,2.00,350.00,A,,,,,,,
4491,2774,339033,,"Importante minicurso sobre Cartografia Social Urbana a ser realizado junto com professores de escolas parceiras, ongs e participantes do evento.",1500.00,1.00,1500.00,A,,,,,,,
4492,2774,339033,,"Reembolso de possíveis passagens de palestrantes que venham até Porto Alegre e precisem se deslocar até o sul do Estado para a participação nas atividades do projeto.",110.00,2.00,220.00,A,,,,,,,
4493,2774,339039,Editora,"Serviços de ISBN, Ficha Catalográfica, edição, diagramação do e-book contendo os trabalhos do seminário.",990.00,1.00,990.00,A,,,,,,J,2018-10-01
5038,2887,339014,,"Palestrante UFSM",212.57,1.50,318.86,I,,,,,,,
5039,2887,339033,,"Vinda da Palestrante da AGU",746.32,2.00,1492.64,I,,,,,,,
5040,2887,339014,,"Diária para palestrante AGU",89.53,2.50,223.83,I,,,,,,,
5041,2887,339033,,"Vinda da palestrante UFSM",144.00,2.00,288.00,I,,,,,,,
5744,2990,339030,"Papel A4",,0.05,1000.00,50.00,A,,u,,,,,
5745,2990,339030,grampeador,,60.00,1.00,60.00,A,,u,,,,,
5746,2990,339030,"Grampos de papel",,0.01,4000.00,40.00,A,,u,,,,,
5747,2992,339039,Coffee-break,"Será fornecido coffee-break nos intervalos das apresentações durante as manhãs e tardes nos 3 dias do evento. O serviço inclui 6 coffe-break contendo, café, água, suco, salgados diversos e alguns doces para 60 pessoas, excluindo o uso de materiais plásticos.",3600.00,1.00,3600.00,I,,,,,,J,2018-09-25
5777,2997,339014,,"Participação em reuniões com equipe do MMA e lançamento dos produtos. Além de Brasilia, prevê o deslocamento para Rio de Janeiro, Florianópolis e Porto Alegre.",300.00,70.00,21000.00,T,563,,,,,,
5778,2997,339030,"Material de Expediente e processamento de dados",,6000.00,1.00,6000.00,T,563,u,,,,,
5779,2997,339039,"Contratação de empresa de arte gráfica e vídeo","Contratação de empresa de arte gráfica e vídeo",130000.00,1.00,130000.00,T,563,,,,,J,2018-10-09
5780,2997,339036,"Apoio técnico à confecção de cartilhas e animações","Apoio à editoração gráfica no que tange às cartilhas",100000.00,1.00,100000.00,T,563,,,,,F,2018-10-09
5781,2997,339033,,"Participação em reuniões e eventos relacionados ao projeto.",1450.00,10.00,14500.00,T,563,,,,,,
5782,2997,339033,,"Viagens para participação em reuniões e workshops",1450.00,5.00,7250.00,T,563,,,,,,
5783,2997,339033,,"Viagens para participação em oficinas e reuniões",1450.00,5.00,7250.00,T,563,,,,,,
6114,3104,339020,,"Bolsas para os professores envolvidos no projeto.",27600.00,1.00,27600.00,T,,,,,,,
6115,3104,339020,,"Bolsas para os professores envolvidos no projeto.",26400.00,1.00,26400.00,T,,,,,,,
6116,3104,339020,,"Bolsas para os professores envolvidos no projeto.",18400.00,1.00,18400.00,T,,,,,,,
6117,3104,339014,,"Para reuniões, workshops e oficinas.",250.00,36.00,9000.00,T,594,,,,,,
6118,3104,339033,,"Para deslocamentos da equipe",276.00,20.00,5520.00,T,594,,,,,,
6119,3104,339039,"Contratação de Pessoa Jurídica (MEI) para diversas etapas do processo","Apoio técnico em todas as etapas do projeto",78000.00,1.00,78000.00,T,594,,,,,J,2018-10-11
6120,3104,339020,,"Bolsas para os professores envolvidos no projeto.",12880.00,1.00,12880.00,T,,,,,,,
6121,3104,339020,,"Bolsas para os professores envolvidos no projeto.",29040.00,1.00,29040.00,T,,,,,,,
6122,3104,339030,"Material de Expediente e processamento de dados",,22030.17,1.00,22030.17,T,594,u,,,,,
6123,3104,339020,,"Bolsas para os professores envolvidos no projeto.",42600.00,1.00,42600.00,T,,,,,,,
6124,3104,339030,Combustível,,5.00,1200.00,6000.00,T,594,l,,,,,
6356,3177,339039,"Aluguel de transporte","Translado dos palestrantes de Pelotas (aeroporto) a Rio Grande e retorno e de Rio Grande (Cassino) à FURG e retorno",2000.00,1.00,2000.00,A,,,,,,J,2018-10-09
6357,3177,339039,"Coquetel de abertura e cofffee breaks","Alimentação durante o evento: coquetel de abertura do evento e quatro coffee breaks",8500.00,1.00,8500.00,A,,,,,,J,2018-10-09
6358,3177,339033,,"Custear vinda de um palestrante",550.00,1.00,550.00,A,,,,,,,
6359,3177,339030,"Bolsas para participantes - material do evento",,16.00,200.00,3200.00,A,,u,,,,,
6360,3177,339030,"Banners divulgação",,75.00,2.00,150.00,A,,u,,,,,
6361,3177,339014,,"Diárias para custear viagens",250.00,25.00,6250.00,A,,,,,,,
6362,3177,339033,,"Custear vinda de um palestrante",550.00,1.00,550.00,A,,,,,,,
